"date","closePrice","openPrice","high","low","tradeTimes","return"
"2023-9-15","3,117.74","3,133.59","3,141.96","3,107.45","29.20B","-0.28%"
"2023-9-14","3,126.55","3,124.85","3,135.02","3,111.86","26.40B","0.11%"
"2023-9-13","3,123.07","3,137.77","3,143.76","3,106.97","24.97B","-0.45%"
"2023-9-12","3,137.06","3,140.34","3,147.51","3,134.32","23.47B","-0.18%"
"2023-9-11","3,142.78","3,119.61","3,155.10","3,113.82","29.04B","0.84%"
"2023-9-8","3,116.72","3,114.23","3,126.04","3,104.67","22.81B","-0.18%"
"2023-9-7","3,122.35","3,152.20","3,152.27","3,120.82","26.93B","-1.13%"
"2023-9-6","3,158.08","3,147.14","3,162.15","3,136.90","26.70B","0.12%"
"2023-9-5","3,154.37","3,169.74","3,169.74","3,150.08","29.41B","-0.71%"
"2023-9-4","3,177.06","3,145.94","3,177.06","3,143.38","36.64B","1.40%"
"2023-9-1","3,133.25","3,126.02","3,143.85","3,123.19","29.23B","0.43%"
"2023-8-31","3,119.88","3,134.55","3,139.98","3,113.95","31.34B","-0.55%"
"2023-8-30","3,137.14","3,144.41","3,153.69","3,126.90","34.75B","0.04%"
"2023-8-29","3,135.89","3,091.94","3,145.76","3,090.44","39.89B","1.20%"
"2023-8-28","3,098.64","3,219.04","3,219.04","3,089.12","48.56B","1.13%"
"2023-8-25","3,064.07","3,068.61","3,085.05","3,053.04","29.33B","-0.59%"
"2023-8-24","3,082.24","3,085.91","3,106.18","3,072.95","30.00B","0.12%"
"2023-8-23","3,078.40","3,116.27","3,116.38","3,077.61","27.22B","-1.34%"
"2023-8-22","3,120.33","3,103.78","3,126.78","3,074.53","30.93B","0.88%"
"2023-8-21","3,092.98","3,125.99","3,134.96","3,092.98","26.58B","-1.24%"
"2023-8-18","3,131.95","3,165.10","3,179.12","3,131.95","29.44B","-1.00%"
"2023-8-17","3,163.74","3,137.35","3,167.45","3,123.25","29.47B","0.43%"
"2023-8-16","3,150.13","3,164.70","3,176.63","3,149.72","28.17B","-0.82%"
"2023-8-15","3,176.18","3,180.56","3,186.23","3,147.35","27.33B","-0.07%"
"2023-8-14","3,178.43","3,159.71","3,180.51","3,141.66","29.98B","-0.34%"
"2023-8-11","3,189.25","3,254.48","3,254.48","3,189.25","33.01B","-2.01%"
"2023-8-10","3,254.56","3,242.21","3,257.03","3,234.12","28.74B","0.31%"
"2023-8-9","3,244.49","3,251.15","3,257.08","3,240.29","27.12B","-0.49%"
"2023-8-8","3,260.62","3,260.72","3,274.52","3,246.67","31.65B","-0.25%"
"2023-8-7","3,268.83","3,276.78","3,276.78","3,258.54","36.03B","-0.59%"
"2023-8-4","3,288.08","3,296.09","3,315.05","3,281.73","47.09B","0.23%"
"2023-8-3","3,280.46","3,254.57","3,280.86","3,247.27","38.47B","0.58%"
"2023-8-2","3,261.69","3,281.86","3,290.82","3,252.30","40.53B","-0.89%"
"2023-8-1","3,290.95","3,288.76","3,305.34","3,279.57","45.99B","0.00%"
"2023-7-31","3,291.04","3,287.21","3,322.13","3,281.01","45.90B","0.46%"
"2023-7-28","3,275.93","3,206.74","3,280.28","3,200.99","41.11B","1.84%"
"2023-7-27","3,216.67","3,225.48","3,245.60","3,210.47","32.71B","-0.20%"
"2023-7-26","3,223.03","3,228.09","3,229.89","3,212.88","31.72B","-0.26%"
"2023-7-25","3,231.52","3,201.46","3,231.75","3,201.46","34.86B","2.13%"
"2023-7-24","3,164.16","3,157.47","3,178.73","3,151.13","21.66B","-0.11%"
"2023-7-21","3,167.75","3,163.42","3,185.64","3,157.33","22.53B","-0.06%"
"2023-7-20","3,169.52","3,201.91","3,209.06","3,165.67","23.89B","-0.92%"
"2023-7-19","3,198.84","3,195.01","3,204.36","3,181.56","21.74B","0.03%"
"2023-7-18","3,197.82","3,206.79","3,210.25","3,190.00","23.50B","-0.37%"
"2023-7-17","3,209.63","3,219.02","3,219.02","3,195.89","25.02B","-0.87%"
"2023-7-14","3,237.70","3,240.97","3,248.39","3,234.00","27.33B","0.04%"
"2023-7-13","3,236.48","3,202.70","3,238.47","3,202.70","27.66B","1.26%"
"2023-7-12","3,196.13","3,220.38","3,224.33","3,193.44","27.14B","-0.78%"
"2023-7-11","3,221.37","3,211.12","3,221.68","3,200.38","22.76B","0.55%"
"2023-7-10","3,203.70","3,208.73","3,216.53","3,192.66","23.66B","0.22%"
"2023-7-7","3,196.61","3,197.47","3,212.05","3,189.21","25.57B","-0.28%"
"2023-7-6","3,205.57","3,215.86","3,229.48","3,199.72","24.61B","-0.54%"
"2023-7-5","3,222.95","3,240.05","3,241.84","3,218.60","26.40B","-0.69%"
"2023-7-4","3,245.35","3,241.23","3,246.96","3,233.99","27.92B","0.04%"
"2023-7-3","3,243.98","3,209.16","3,246.86","3,209.16","31.24B","1.31%"
"2023-6-30","3,202.06","3,178.92","3,212.99","3,177.99","26.54B","0.62%"
"2023-6-29","3,182.38","3,185.42","3,196.50","3,179.53","25.03B","-0.22%"
"2023-6-28","3,189.38","3,183.49","3,192.66","3,157.12","27.62B","0.00%"
"2023-6-27","3,189.44","3,153.31","3,194.41","3,148.27","28.76B","1.23%"
"2023-6-26","3,150.62","3,177.23","3,181.08","3,144.25","30.81B","-1.48%"
"2023-6-21","3,197.90","3,230.11","3,236.36","3,197.90","29.44B","-1.31%"
"2023-6-20","3,240.36","3,252.54","3,252.84","3,237.79","29.83B","-0.47%"
"2023-6-19","3,255.81","3,271.16","3,271.16","3,251.78","32.78B","-0.54%"
"2023-6-16","3,273.33","3,256.30","3,276.55","3,255.50","32.63B","0.63%"
"2023-6-15","3,252.98","3,230.45","3,252.98","3,229.15","31.33B","0.74%"
"2023-6-14","3,228.99","3,238.12","3,248.46","3,226.77","30.35B","-0.14%"
"2023-6-13","3,233.67","3,223.90","3,235.09","3,215.50","28.06B","0.15%"
"2023-6-12","3,228.83","3,225.30","3,239.44","3,210.71","31.38B","-0.08%"
"2023-6-9","3,231.41","3,213.03","3,231.41","3,206.10","31.42B","0.55%"
"2023-6-8","3,213.59","3,194.83","3,225.53","3,180.54","29.35B","0.49%"
"2023-6-7","3,197.76","3,197.47","3,210.33","3,188.01","25.81B","0.08%"
"2023-6-6","3,195.34","3,228.41","3,247.35","3,189.27","30.83B","-1.15%"
"2023-6-5","3,232.44","3,231.81","3,244.18","3,221.63","27.81B","0.07%"
"2023-6-2","3,230.07","3,212.45","3,233.99","3,211.74","29.47B","0.79%"
"2023-6-1","3,204.63","3,196.15","3,225.09","3,189.52","31.23B","0.00%"
"2023-5-31","3,204.56","3,214.66","3,216.36","3,190.27","29.46B","-0.61%"
"2023-5-30","3,224.21","3,214.67","3,230.63","3,186.63","30.35B","0.09%"
"2023-5-29","3,221.45","3,219.76","3,230.97","3,208.96","29.74B","0.28%"
"2023-5-26","3,212.50","3,198.88","3,220.77","3,179.82","26.17B","0.35%"
"2023-5-25","3,201.26","3,197.36","3,207.02","3,168.57","28.36B","-0.11%"
"2023-5-24","3,204.75","3,237.70","3,237.70","3,204.38","28.87B","-1.28%"
"2023-5-23","3,246.24","3,294.79","3,298.23","3,246.24","27.53B","-1.52%"
"2023-5-22","3,296.47","3,278.60","3,308.53","3,276.54","27.39B","0.39%"
"2023-5-19","3,283.54","3,288.89","3,302.34","3,268.22","28.54B","-0.42%"
"2023-5-18","3,297.32","3,288.41","3,313.86","3,284.17","31.00B","0.40%"
"2023-5-17","3,284.23","3,281.97","3,298.52","3,269.89","28.57B","-0.21%"
"2023-5-16","3,290.99","3,310.16","3,317.90","3,282.49","32.25B","-0.60%"
"2023-5-15","3,310.74","3,269.88","3,310.74","3,235.87","38.80B","1.17%"
"2023-5-12","3,272.36","3,304.46","3,319.13","3,271.43","34.73B","-1.12%"
"2023-5-11","3,309.55","3,323.66","3,333.25","3,307.29","35.43B","-0.29%"
"2023-5-10","3,319.15","3,347.70","3,349.72","3,305.25","45.17B","-1.15%"
"2023-5-9","3,357.67","3,402.39","3,418.95","3,356.12","57.30B","-1.10%"
"2023-5-8","3,395.00","3,340.99","3,400.18","3,340.99","53.41B","1.81%"
"2023-5-5","3,334.50","3,350.65","3,364.14","3,321.19","43.65B","-0.48%"
"2023-5-4","3,350.46","3,306.48","3,352.75","3,302.03","48.34B","0.82%"
"2023-4-28","3,323.27","3,283.12","3,324.88","3,283.12","40.16B","1.14%"
"2023-4-27","3,285.88","3,256.23","3,299.30","3,253.11","34.16B","0.67%"
"2023-4-26","3,264.10","3,255.22","3,277.98","3,239.99","35.79B","-0.02%"
"2023-4-25","3,264.87","3,276.40","3,288.57","3,229.45","38.09B","-0.32%"
